,0
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,4
31,4
32,4
33,4
34,4
35,4
36,4
37,4
38,4
39,4
40,5
41,5
42,5
43,5
44,5
45,5
46,5
47,5
48,5
49,5
50,6
51,6
52,6
53,6
54,6
55,6
56,6
57,6
58,6
59,6
60,7
61,7
62,7
63,7
64,7
65,7
66,7
67,7
68,7
69,7
70,8
71,8
72,8
73,8
74,8
75,8
76,8
77,8
78,8
79,8
80,9
81,9
82,9
83,9
84,9
85,9
86,9
87,9
88,9
89,9
90,10
91,10
92,10
93,10
94,10
95,10
96,10
97,10
98,10
99,10
100,11
101,11
102,11
103,11
104,11
105,11
106,11
107,11
108,11
109,11
110,12
111,12
112,12
113,12
114,12
115,12
116,12
117,12
118,12
119,12
120,13
121,13
122,13
123,13
124,13
125,13
126,13
127,13
128,13
129,13
130,14
131,14
132,14
133,14
134,14
135,14
136,14
137,14
138,14
139,14
140,15
141,15
142,15
143,15
144,15
145,15
146,15
147,15
148,15
149,15
150,16
151,16
152,16
153,16
154,16
155,16
156,16
157,16
158,16
159,16
160,17
161,17
162,17
163,17
164,17
165,17
166,17
167,17
168,17
169,17
170,18
171,18
172,18
173,18
174,18
175,18
176,18
177,18
178,18
179,18
180,19
181,19
182,19
183,19
184,19
185,19
186,19
187,19
188,19
189,19
190,20
191,20
192,20
193,20
194,20
195,20
196,20
197,20
198,20
199,20
200,21
201,21
202,21
203,21
204,21
205,21
206,21
207,21
208,21
209,21
210,22
211,22
212,22
213,22
214,22
215,22
216,22
217,22
218,22
219,22
220,23
221,23
222,23
223,23
224,23
225,23
226,23
227,23
228,23
229,23
230,24
231,24
232,24
233,24
234,24
235,24
236,24
237,24
238,24
239,24
240,25
241,25
242,25
243,25
244,25
245,25
246,25
247,25
248,25
249,25
250,26
251,26
252,26
253,26
254,26
255,26
256,26
257,26
258,26
259,26
260,27
261,27
262,27
263,27
264,27
265,27
266,27
267,27
268,27
269,27
270,28
271,28
272,28
273,28
274,28
275,28
276,28
277,28
278,28
279,28
280,29
281,29
282,29
283,29
284,29
285,29
286,29
287,29
288,29
289,29
290,30
291,30
292,30
293,30
294,30
295,30
296,30
297,30
298,30
299,30
300,31
301,31
302,31
303,31
304,31
305,31
306,31
307,31
308,31
309,31
